Movie Name,Summary
1. Anora,"A young stripper from Brooklyn meets and impulsively marries the son of a Russian oligarch. Once the news reaches Russia, her fairy tale is threatened as his parents set out for New York to get the marriage annulled."
2. Babygirl,A high-powered CEO puts her career and family on the line when she begins a torrid affair with her much-younger intern.
3. Wicked,"Elphaba, a young woman ridiculed for her green skin, and Galinda, a popular girl, become friends at Shiz University in the Land of Oz. After an encounter with the Wonderful Wizard of Oz, their friendship reaches a crossroads."
4. On Swift Horses,"Muriel and her husband Lee are about to begin a bright new life, which is upended by the arrival of Lee's brother. Muriel embarks on a secret life, gambling on racehorses and discovering a love she never thought possible."
5. The Fall Guy,"A stuntman, fresh off an almost career-ending accident, has to track down a missing movie star, solve a conspiracy and try to win back the love of his life while still doing his day job."
6. We Live in Time,"After an unusual encounter, a talented chef and a recently divorcée fall in love and build the home and family they've always dreamed of, until a painful truth puts their love story to the test."
7. It Ends with Us,"When a woman's first love suddenly reenters her life, her relationship with a charming, but abusive neurosurgeon is upended and she realizes she must learn to rely on her own strength to make an impossible choice for her future."
8. The Count of Monte-Cristo,"After escaping from an island prison where he spent 14 years for being wrongly accused of state treason, Edmond Dantès returns as the Count of Monte Cristo to exact revenge on the men who betrayed him."
9. The Idea of You,"Solène, a 40-year-old single mom, begins an unexpected romance with 24-year-old Hayes Campbell, the lead singer of August Moon, the hottest boy band on the planet."
10. Challengers,"Tashi, a former tennis prodigy turned coach, transformed her husband into a champion. But to overcome a recent losing streak and redeem himself, he'll need to face off against his former best friend and Tashi's ex-boyfriend."
11. My Old Ass,"A mushroom trip brings free-spirited Elliott face-to-face with her 39-year-old self. But when Elliott's ""old ass"" delivers warnings to her younger self, Elliott realizes she has to rethink everything about her family, life and love."
12. Winter Spring Summer or Fall,"Remi and Barnes, two very different teenagers, meet by chance in the winter of their senior year, then spend four days together over the course of a year that will change their lives forever."
13. Love Lies Bleeding,"Reclusive gym manager Lou falls hard for Jackie, an ambitious bodybuilder headed through town to Vegas in pursuit of her dream. But their love ignites violence, pulling them deep into the web of Lou's criminal family."
14. Fly Me to the Moon,"Marketing maven Kelly Jones wreaks havoc on NASA launch director Cole Davis's already difficult task. When the White House deems the mission too important to fail, the countdown truly begins."
15. The Crow,"Soulmates Eric and Shelly are brutally murdered. Given a chance to save the love of his life, Eric must sacrifice himself and traverse the worlds of the living and the dead, seeking revenge."
16. A Nice Indian Boy,"When Naveen brings his fiancé Jay home to meet his traditional Indian family, they must contend with accepting his white-orphan-artist boyfriend and helping them plan the Indian wedding of their dreams."
17. Upgraded,"Ana, an ambitious intern at an art auction house in New York City, misrepresents herself to a handsome wealthy man as the director. As their romance develops, her deception creates challenges that threaten her career and relationship."
18. Queer,"In 1950s Mexico City, an American immigrant in his late forties leads a solitary life amidst a small American community. However, the arrival of a young student stirs the man into finally establishing a meaningful connection with someone."
19. A Family Affair,"A surprising romance kicks off comic consequences for a young woman, her mother, and her movie-star boss as they face the complications of love, sex, and identity."
20. Spaceman,"Half a year into his solo mission on the edge of the solar system, an astronaut concerned with the state of his life back on Earth is helped by an ancient creature he discovers in the bowels of his ship."
21. Jane Austen Wrecked My Life,"A desperately single bookseller, lost in a fantasy world, finds herself forced to fulfill her dreams of becoming a writer in order to stop messing up her love life."
22. Emmanuelle,"In search of a lost pleasure, Emmanuelle travels alone to Hong Kong on a business mission. In the vibrant and sensual global city, she indulges in intense encounters and new experiences."
23. All We Imagine as Light,"In Mumbai, Nurse Prabha's routine is troubled when she receives an unexpected gift from her estranged husband. Her younger roommate, Anu, tries in vain to find a spot in the city to be intimate with her boyfriend."
24. Culpa Tuya,"Despite their parents' efforts to separate them, Noah and Nick's love seems unbreakable. However, work and college open their lives to new relationships."
25. Young Woman and the Sea,"The story of competitive swimmer Gertrude Ederle, who, in 1926, was the first woman to ever swim across the English Channel."
26. Went Up the Hill,"Jack ventures to remote New Zealand for the funeral of his estranged mother and meets her widow Jill. But his mother's spirit returns to inhabit each of their bodies, instigating a life-threatening three-way nocturnal dance."
27. Dreams,"Johanne documents her intense crush on her french teacher. Her mother, grandmother end up reading these intimate writings. They're both horrified by the contents but taken by the powerful writing and story. Johanne navigates romantic ideals vs reality, exploring emotions of self-discovery, love, sexuality."
28. Ask Me What You Want,"After his father's death, Eric Zimmerman travels to Spain to oversee his company's branches. In Madrid, he falls for Judith and engage in an intense, erotic relationship full of exploration. Eric fears his secret may end their affair."
29. F*** Marry Kill,"As a serial killer targets women on dating apps, a true-crime junkie must figure out which of her three dates is a f-boy, marriage material, or is trying to kill her."
30. Our Little Secret,Two resentful exes must awkwardly spend Christmas together after they learn that their new partners are siblings.
31. Irish Wish,"When the love of Maddie's life gets engaged to her best friend, she puts her feelings aside to be a bridesmaid at their wedding in Ireland."
32. The Master and Margarita,"A writer's novel is banned and play canceled. He then conceives a satirical novel where a devil-like character metaphorically revenges those responsible. Knowing it cannot be published, his muse Margarita pushes him to write it anyway."
33. Turtles All the Way Down,A teenager with OCD tries to solve a mystery surrounding a fugitive billionaire.
34. Lonely Planet,"At a retreat in Morocco, a woman meets a young man whose acquaintanceship evolves into an intoxicating, life-altering love affair."
35. Bonjour Tristesse,Cécile's relaxing summer with her father in the south of France is upended by the arrival of the enigmatic Anne.
36. Young Hearts,Elias develops feelings for his new neighbor Alexander. He soon realizes he's falling in love for the first time.
37. Mother of the Bride,Lana's daughter Emma returns from London and announces that she's getting married next month. Things become more complicated when Lana learns that the man who stole Emma's heart is the son of the man who broke hers years ago.
38. Love,"Marianne, a doctor, and Tor, a nurse, avoid relationships. After meeting on a ferry where Tor seeks casual encounters, Marianne explores the possibility of spontaneous intimacy, questioning societal norms."
39. Beating Hearts,"Local rebellious teenager Clotaire falls for his schoolmate Jackie, but gang violence leads him to a darker destructive path. After years apart, the star-crossed lovers discover that every path they've taken leads them back together."
40. Lisa Frankenstein,"A coming of RAGE love story about a teenager and her crush, who happens to be a corpse. After a set of horrific circumstances bring him back to life, the two embark on a journey to find love, happiness - and a few missing body parts."
41. The Greatest Hits,"A love story centering on the connection between music and memory and how they transport us, sometimes literally."
42. Girl Haunts Boy,"Follows Bea, a teenager ghost who forms a special friendship with Cole, the new guy in town, whose house she has been inhabiting for over 100 years."
43. Die Alone,Tells the story of a young man who has amnesia. He bands together with a rugged survivalist in a zombie-like outbreak to find his girlfriend.
44. Girls Will Be Girls,"At a strict boarding school nestled in the Himalayan foothills, 18-year-old Mira first discovers desire and romance. However, her curious, rebellious, coming-of-age is disrupted by her young mother, who never got to come of age herself."
45. Touch,"A romantic and thrilling story that spans several decades and continents; Touch follows one man's emotional journey to find his first love who disappeared 50 years ago, before his time runs out."
46. Vulgar,"Angelika's seemingly perfect life conceals a lack of fulfillment. While arranging her best friend's wedding, she meets Simon, her friend's daring and passionate brother who challenges Angelika's deeply held principles and life beliefs."
47. Another End,"Two people who have loved each other, and continue to love each other, even after one of them dies."
48. The Tearsmith,Sometimes our greatest fear is accepting that someone can honestly love us for who we are. Nica and Rigel are ready to find it out together.
49. Lilies Not for Me,"A gay novelist and his psychiatric nurse bond over a series of ""dates"" prescribed to ""cure"" his homosexuality. He tells her how his previous relationship degenerated when his partner tried a risky procedure to become heterosexual."
50. Sex,Follows two colleagues who in different ways struggle with the same issues about their sexuality.
1. Mahavatar Narsimha,The demon Hiranyakashyap seeks revenge on Vishnu and declares himself a god. His son Prahlad remains devoted to Vishnu. Vishnu manifests as Narsimha to defeat the demon and restore balance.
2. Relay,A broker of lucrative payoffs between corrupt corporations and the individuals who threaten them breaks his own rules when a new client seeks his protection to stay alive.
3. Freaky Tales,"Four interconnected stories set in 1987 Oakland, CA. will tell about the love of music, movies, people, places and memories beyond our knowable universe."
4. Dune: Part Two,"Paul Atreides unites with the Fremen while on a warpath of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the universe, he endeavors to prevent a terrible future."
5. Gladiator II,"After his home is conquered by the tyrannical emperors who now lead Rome, Lucius is forced to enter the Colosseum and must look to his past to find strength to return the glory of Rome to its people."
6. The Beekeeper,A former operative of a powerful organization embarks on a brutal campaign for vengeance.
7. The Ministry of Ungentlemanly Warfare,The British military recruits a small group of highly skilled soldiers to strike against German forces behind enemy lines during World War II.
8. Deadpool & Wolverine,"Deadpool is offered a place in the Marvel Cinematic Universe by the Time Variance Authority, but instead recruits a variant of Wolverine to save his universe from extinction."
9. Drive-Away Dolls,"Jamie regrets her breakup with her girlfriend, while Marian needs to relax. In search of a fresh start, they embark on an unexpected road trip to Tallahassee. Things quickly go awry when they cross paths with a group of inept criminals."
10. Carry-On,A mysterious traveler blackmails a young TSA agent into letting a dangerous package slip through security and onto a Christmas Eve flight.
